sa
76.1046;0.212062
75.8805;0.219399
75.9708;0.218153
75.9104;0.22618
76.088;0.217999
75.9586;0.216776
75.3097;0.21626
75.3097;0.214708
75.9586;0.225943
75.3097;0.205944
75.3097;0.215845
75.3097;0.214982
75.7948;0.207991
75.8805;0.203771
75.3097;0.242609
75.9202;0.216011
75.9543;0.227598
75.3097;0.221384
76.0182;0.217457
76.0182;0.213828
75.5088;0.206063
76.1397;0.217251
75.7948;0.222327
76.136;0.219322
75.3097;0.214619
75.3097;0.2287
75.9104;0.214584
75.9202;0.219089
75.7948;0.201143
75.3097;0.210628
